PLAYER_MATCH,TIME,METHOD,PLACE,PLAY,PLAYER_MATCH_GOAL
500455,90,R,G,O,10622
500452,75,R,P,O,10623
500452,12,R,O,O,10624
500454,64,R,P,O,10625
500469,27,R,O,O,10626
500466,45,L,O,O,10627
500518,64,H,G,O,10628
500532,47,L,P,O,10629
500535,72,L,P,O,10630
500535,90,R,P,O,10631
500545,34,L,P,O,10632
500551,21,R,P,O,10633
500559,82,L,G,O,10634
500577,53,L,G,O,10635
500577,62,H,G,O,10636
500609,20,R,O,O,10637
500692,10,L,G,O,10638
500695,6,L,P,O,10639
500695,58,L,G,O,10640
500696,63,R,G,O,10641
500691,89,R,P,O,10642
500751,76,H,P,T,10643
500808,75,R,G,O,10644
500821,70,H,P,O,10645
500822,65,L,O,O,10646
500839,34,H,G,O,10647
500855,67,R,P,O,10648
500861,43,R,G,O,10649
500888,77,R,P,O,10650
500882,71,L,O,O,10651
500887,20,R,G,O,10652
500884,40,R,O,O,10653
500919,36,R,P,O,10654
500930,39,L,G,O,10655
500947,3,R,G,O,10656
500949,71,R,G,O,10657
500953,28,R,P,O,10658
500955,90,L,P,O,10659
500983,7,L,P,O,10660
500984,59,R,P,O,10661
500999,89,R,P,O,10662
501000,78,R,G,O,10663
501029,18,R,O,O,10664
501015,70,R,O,O,10665
501015,44,H,P,O,10666
501066,71,L,P,O,10667
501066,26,R,P,O,10668
501072,90,H,P,C,10669
501075,84,L,P,O,10670
501064,19,H,G,O,10671
501091,20,R,G,O,10672
501104,60,H,G,C,10673
501107,90,R,P,O,10674
501114,86,R,P,P,10675
501146,57,R,P,O,10676
501141,90,R,P,I,10677
501178,45,L,P,O,10678
501163,44,R,G,C,10679
501161,67,R,P,O,10680
501162,87,R,P,O,10681
501210,38,R,P,O,10682
501186,56,L,O,O,10683
501187,38,R,P,O,10684
501192,50,R,P,O,10685
501203,59,H,P,O,10686
501204,90,R,P,O,10687
501209,71,R,P,P,10688
501222,43,R,O,C,10689
501239,74,R,P,P,10690
501247,78,L,O,O,10691
501253,72,R,P,O,10692
501257,41,R,P,C,10693
501259,1,R,P,O,10694
501259,34,L,G,C,10695
501259,54,R,P,O,10696
501273,55,R,P,O,10697
501284,77,L,G,O,10698
501316,12,R,P,O,10699
501333,88,H,G,O,10700
501337,40,R,G,C,10701
501348,87,R,O,O,10702
501351,56,L,O,O,10703
501353,41,R,O,O,10704
501355,45,L,P,O,10705
501358,75,R,G,O,10706
501371,3,H,P,O,10707
501401,45,R,P,P,10708
501386,55,H,G,O,10709
501396,53,L,G,O,10710
501413,71,R,O,I,10711
501431,31,R,P,T,10712
501410,49,H,G,C,10713
501447,21,R,P,O,10714
501460,73,L,P,O,10715
501466,9,R,O,O,10716
501496,90,L,G,O,10717
501497,17,R,G,C,10718
501497,32,H,P,I,10719
501531,2,L,P,O,10720
501531,16,L,P,O,10721
501531,89,L,P,O,10722
501561,85,R,G,O,10723
501560,78,H,P,O,10724
501607,55,L,P,O,10725
501612,48,H,P,O,10726
501640,58,H,P,C,10727
501642,83,L,P,O,10728
501643,29,L,P,O,10729
501672,56,H,P,O,10730
501696,5,R,P,I,10731
501703,86,R,P,C,10732
501704,73,L,P,O,10733
501707,90,L,P,O,10734
501751,22,R,P,O,10735
501731,80,H,P,O,10736
501732,55,R,O,O,10737
501771,90,R,P,P,10738
501785,38,R,P,O,10739
501819,40,L,P,O,10740
501830,34,H,P,O,10741
501835,90,H,P,O,10742
501849,27,H,P,O,10743
501855,22,H,G,C,10744
501879,29,R,G,O,10745
501880,88,L,P,O,10746
501883,68,L,P,O,10747
501890,26,H,P,C,10748
501899,86,R,P,O,10749
501893,31,R,P,O,10750
501898,27,H,P,O,10751
501898,15,R,P,O,10752
501931,37,H,G,I,10753
501948,35,R,P,O,10754
501948,45,R,G,O,10755
501976,89,L,P,O,10756
501992,39,R,O,O,10757
502010,88,R,P,O,10758
502042,44,R,O,O,10759
502022,45,H,P,I,10760
502028,89,L,G,O,10761
502041,47,L,P,I,10762
